"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CheriseBurda: How other cities govern transit.  Lessons from Vancouver, Denver and NYC: “Don’t create another agency”. https://t.co/6kC…",FALSE,0,NA,2017-11-30 23:59:58,FALSE,NA,"936384338093948928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RichardJoyTO",4,TRUE,FALSE,NA,NA
"2","RT @ATVSPoseur: He hit a home run once when talking to the umpire as the ball was pitched. That throw out of Harold Reynolds. That amazing…",FALSE,0,NA,2017-11-30 23:59:41,FALSE,NA,"936384266765787137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gjcrayson",1,TRUE,FALSE,NA,NA
"3","@jakemiller See you Denver, Salt Lake City and Chicago!!",FALSE,1,"jakemiller",2017-11-30 23:59:39,FALSE,"936384140664074241","936384262344978434","232376381","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MillersMyDrug",0,FALSE,FALSE,NA,NA
"4","#1 ranked Denver takes the mat shortly, time to put on a show! #milewidepride #dcnation @THwrestler69 https://t.co/oql5sIPTpK",FALSE,10,NA,2017-11-30 23:59:36,FALSE,NA,"936384247719497728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RandyLe10872474",1,FALSE,FALSE,NA,NA
"5","@MilesKennelly @vandyjsexton this boy is in denver lol",FALSE,2,"MilesKennelly",2017-11-30 23:59:35,FALSE,"936381221029912576","936384244062081024","1495965494","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PAULTHECANONXXX",1,FALSE,FALSE,NA,NA
"6","denver max https://t.co/M8ejF7u3jv",FALSE,0,NA,2017-11-30 23:59:29,FALSE,NA,"936384220070666241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sashabalor69",0,FALSE,FALSE,NA,NA
"7","Eli to Denver would = superbowl",FALSE,2,NA,2017-11-30 23:59:01,FALSE,NA,"936384100566552576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Benjamin_Burns_",0,FALSE,FALSE,NA,NA
"8","https://t.co/PasMIzdM4T",FALSE,0,NA,2017-11-30 23:59:00,FALSE,NA,"936384095684317184",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","COAutoFinders",0,FALSE,FALSE,NA,NA
"9","Vegas bound tomorrow and then off to Denver! <U+2708><U+FE0F>",FALSE,1,NA,2017-11-30 23:58:52,FALSE,NA,"936384064713506816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","djbling",0,FALSE,FALSE,NA,NA
"10","RT @SunDevilHoops: Congratulations to @asu_alumni Fat Lever who will have his Nuggets jersey retired this Saturday in Denver. Fat's number…",FALSE,0,NA,2017-11-30 23:58:42,FALSE,NA,"936384020413161472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","forkemdevilz",22,TRUE,FALSE,NA,NA
"11","Oooooooon to the next one, on to the next. Yo Cali, Vegas, Denver.... check you in a few son. When I touch down, ma… https://t.co/CnJY2ecpzk",FALSE,0,NA,2017-11-30 23:58:35,TRUE,NA,"936383989883031553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BRAZIL_SS",0,FALSE,FALSE,NA,NA
"12","3 new homeless shelters open in Denver ahead of the winter season: https://t.co/uGjC4yHOT3 #Denver7 https://t.co/Zu1QNAsSD3",FALSE,6,NA,2017-11-30 23:58:33,FALSE,NA,"936383985340465152",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DenverChannel",0,FALSE,FALSE,NA,NA
"13","@JoseGuapo DENVER CO MY G  pleaseeeeee!!!!",FALSE,0,"JoseGuapo",2017-11-30 23:58:33,FALSE,"936120895281778688","936383984329732101","108788135","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAmartinez420",1,FALSE,FALSE,NA,NA
"14","RT @bluelivesmtr: BOLO DENVER: Let's get this scumbag who shot at a Thornton police officer this morning. 
https://t.co/6r9vV2e0tf",FALSE,0,NA,2017-11-30 23:58:33,FALSE,NA,"936383981527986177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPazderski",61,TRUE,FALSE,NA,NA
"15","RT @jakek: Hey Colorado, skip work on Monday and come to my Design Sprint Workshop in Denver! <U+26A1><U+FE0F><U+270D><U+FE0F><U+23F2><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0084>

I won't tell.

https://t.co/SXkZueLx…",FALSE,0,NA,2017-11-30 23:58:31,FALSE,NA,"936383976280809472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_JakeTaylor",6,TRUE,FALSE,NA,NA
"16","@ColemanJM73 @Natediz702 @JonRothstein Vegas is so great he moved to Denver....",FALSE,0,"ColemanJM73",2017-11-30 23:58:31,FALSE,"936382707180888064","936383976238858240","488849820","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mar1ne0811",0,FALSE,FALSE,NA,NA
"17","RT @monxxbeats: My opening for DENVER LAST NIGHT!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB> @herobust &amp; MONXX - GIANT SQUIDDIM (@BandlezMusic remix) into @Midnightasaurus - Supr…",FALSE,0,NA,2017-11-30 23:58:28,FALSE,NA,"936383964486410240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nikasaurus5446",291,TRUE,FALSE,NA,NA
"18","Live stream Denver Nuggets vs. Chicago Bulls https://t.co/La6qLEs3NF",FALSE,0,NA,2017-11-30 23:58:18,FALSE,NA,"936383919632584704",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","livesport24h",0,FALSE,FALSE,NA,NA
"19","Pensar que si no fuera por Denver ya estaria en vacasiones posta ele pe eme",FALSE,0,NA,2017-11-30 23:58:16,FALSE,NA,"936383910367383554",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anto_AlvareZzz",0,FALSE,FALSE,NA,NA
"20","RT @DenverZoo: Want to wish a bison a happy #NationalBisonMonth in person? There are several bison herds in the Denver Metro Area. Click he…",FALSE,0,NA,2017-11-30 23:58:13,FALSE,NA,"936383898388389889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bondsue609",11,TRUE,FALSE,NA,NA
"21","RT @BitchestheCat: New study finds CBS Denver should shut their blasphemous mouths. https://t.co/oSdPmid0mv",FALSE,0,NA,2017-11-30 23:58:12,FALSE,NA,"936383895490179074",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","catystrophia",194,TRUE,FALSE,NA,NA
"22","RT @YouAintABarbie: There’s now a Sudanese restaurant in Denver and I’m excited for it <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/69pA67yghm",FALSE,0,NA,2017-11-30 23:58:10,FALSE,NA,"936383889139838976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nora_fathe",7,TRUE,FALSE,NA,NA
"23","6 metro-Denver housing projects awarded coveted tax credits https://t.co/6O2GHkZKEd",FALSE,0,NA,2017-11-30 23:58:06,FALSE,NA,"936383870781366272",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","DENSmallBiz",0,FALSE,FALSE,NA,NA
