,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
19,Sioux Falls SD Thu Nov 30th PM Forecast: TONIGHT Mostly Clear Lo 29 FRIDAY Partly Sunny Hi 49,FALSE,0,NA,11/30/2017 23:04,FALSE,NA,9.3637E+17,NA,"<a href=""http://towntweet.com/"" rel=""nofollow"">TownTweet</a>",Sioux_Falls_SD,0,FALSE,FALSE,-96.7061,43.6022
24,"current weather in Sioux Falls: clear sky, 46°F
38% humidity, wind 9mph, pressure 1021mb",FALSE,0,NA,11/30/2017 22:58,FALSE,NA,9.36369E+17,NA,"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>",_SiouxFallsSD,0,FALSE,FALSE,-96.73,43.55
28,Sioux Falls: 4:51pm: sunset,FALSE,0,NA,11/30/2017 22:56,FALSE,NA,9.36368E+17,NA,"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>",_SiouxFallsSD,0,FALSE,FALSE,-96.73,43.55
89,"I'm at W. 12th Pourhouse and Kitchen in Sioux Falls, SD https://t.co/ZXqIWfseXR",FALSE,0,NA,11/30/2017 21:25,FALSE,NA,9.36345E+17,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",Bgutnik,0,FALSE,FALSE,-96.79001503,43.54339032
137,"Red Velvet Cake Truffles.
Dipped in Ghirardelli chocolate.
Happy day <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> @ Half Baked Sioux Falls https://t.co/duNn1NdSGQ",FALSE,0,NA,11/30/2017 20:17,FALSE,NA,9.36328E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",NeedCupcakesNow,0,FALSE,FALSE,-96.72637,43.54656
168,"Can you recommend anyone for this #job in #SiouxFalls, SD? https://t.co/EgYMZ03LSz #CustomerService #Hiring #CareerArc",FALSE,0,NA,11/30/2017 19:38,FALSE,NA,9.36319E+17,NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",tmj_SD_cstsrv,0,FALSE,FALSE,-96.7311034,43.5445959
214,"current weather in Sioux Falls: few clouds, 44°F
45% humidity, wind 13mph, pressure 1023mb",FALSE,0,NA,11/30/2017 18:14,FALSE,NA,9.36297E+17,NA,"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>",_SiouxFallsSD,0,FALSE,FALSE,-96.73,43.55
222,"Glad I got to see these two cousins again @ Sioux Falls, South Dakota https://t.co/ASt0873gvg",FALSE,0,NA,11/30/2017 18:03,FALSE,NA,9.36295E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Th3DailyD,0,FALSE,FALSE,-96.7318,43.5363
253,"Finish November strong and set new goals for December. @ Sioux Falls, South Dakota https://t.co/HWCMfAn1dd",FALSE,0,NA,11/30/2017 17:21,FALSE,NA,9.36284E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",scottkcooper,0,FALSE,FALSE,-96.7318,43.5363
276,"We're #hiring! Click to apply: barista - Store# 02799, SIOUX FALLS - 13TH &amp; MINNESOTA - https://t.co/DCAIZa3Dba… https://t.co/dduABlMJ3D",FALSE,0,NA,11/30/2017 16:53,TRUE,NA,9.36277E+17,NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",tmj_SD_cstsrv,0,FALSE,FALSE,-96.7311034,43.5445959
312,"Want to work at CITI? We're #hiring in #SiouxFalls, SD! Click for details: https://t.co/KPZlAKPcAV #CitiCareers #IT #Job #Jobs #CareerArc",FALSE,0,NA,11/30/2017 15:27,FALSE,NA,9.36255E+17,NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",tmj_sd_adm,0,FALSE,FALSE,-96.7311034,43.5445959
319,Happy Thursday! @ Sioux Falls Washington HS Speech &amp; Debate https://t.co/m894wrOFat,FALSE,1,NA,11/30/2017 15:13,FALSE,NA,9.36252E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",TravisDahle,0,FALSE,FALSE,-96.67421,43.553154
341,"Interested in a #job in #SiouxFalls, SD? This could be a great fit: https://t.co/fWL0pzjbrP #Diversity #Retail #Hiring",FALSE,0,NA,11/30/2017 14:18,FALSE,NA,9.36238E+17,NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>",DGCareers,0,FALSE,FALSE,-96.7311034,43.5445959
348,"See our latest #SiouxFalls, SD #job and click to apply: Associate Sales Consultant - Sioux Falls, SD LYA10138 -… https://t.co/lzRE5o6DFE",FALSE,0,NA,11/30/2017 14:05,TRUE,NA,9.36235E+17,NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",tmj_SD_pharm,0,FALSE,FALSE,-96.7311034,43.5445959
349,Sioux Falls SD Thu Nov 30th AM Forecast: TODAY Sunny Hi 49 TONIGHT Mostly Clear Lo 27,FALSE,0,NA,11/30/2017 14:04,FALSE,NA,9.36235E+17,NA,"<a href=""http://towntweet.com/"" rel=""nofollow"">TownTweet</a>",Sioux_Falls_SD,0,FALSE,FALSE,-96.7061,43.6022
